Date,Open,High,Low,Close,Adj Close,Volume
02-01-1962,0.263021,0.270182,0.263021,0.263021,0.051133,806400
03-01-1962,0.259115,0.259115,0.253255,0.257161,0.049994,1574400
04-01-1962,0.257813,0.261068,0.257813,0.259115,0.050374,844800
05-01-1962,0.259115,0.26237,0.252604,0.253255,0.049234,1420800
08-01-1962,0.251302,0.251302,0.245768,0.250651,0.048728,2035200
09-01-1962,0.250651,0.25651,0.248698,0.255208,0.049614,960000
10-01-1962,0.255208,0.260091,0.252604,0.25651,0.049867,1612800
11-01-1962,0.25651,0.259115,0.255208,0.259115,0.050374,614400
12-01-1962,0.259115,0.259115,0.254557,0.257161,0.049994,883200
15-01-1962,0.25651,0.25651,0.253906,0.254557,0.049488,614400
16-01-1962,0.253906,0.253906,0.249674,0.25,0.048602,1113600
17-01-1962,0.25,0.25,0.242188,0.242188,0.047083,1574400
18-01-1962,0.242188,0.24349,0.236328,0.237305,0.046134,2649600
19-01-1962,0.239583,0.244792,0.239583,0.244792,0.047589,1459200
22-01-1962,0.244792,0.247396,0.242188,0.246745,0.047969,1075200
23-01-1962,0.246094,0.246094,0.241536,0.241536,0.046956,768000
24-01-1962,0.241536,0.242188,0.234375,0.238932,0.04645,2611200
25-01-1962,0.238932,0.242839,0.236979,0.236979,0.04607,1574400
26-01-1962,0.236979,0.236979,0.233073,0.234375,0.045564,1574400
29-01-1962,0.234375,0.235026,0.233724,0.234375,0.045564,307200
30-01-1962,0.234375,0.236328,0.233398,0.233398,0.045374,1574400
31-01-1962,0.234375,0.242839,0.234375,0.242839,0.04721,1766400
01-02-1962,0.244792,0.248698,0.244792,0.244792,0.047589,1420800
02-02-1962,0.244792,0.247396,0.240885,0.247396,0.048095,1152000
05-02-1962,0.247396,0.247396,0.245443,0.247396,0.048095,384000
06-02-1962,0.247396,0.247396,0.244141,0.244141,0.047463,691200
07-02-1962,0.244141,0.245443,0.244141,0.245443,0.047716,192000
08-02-1962,0.245443,0.247396,0.242839,0.246094,0.047842,768000
09-02-1962,0.246094,0.247396,0.244792,0.247396,0.048095,729600
12-02-1962,0.247396,0.248047,0.245443,0.245443,0.047716,307200
13-02-1962,0.245443,0.246745,0.245443,0.245443,0.047716,652800
